"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat May 04 17:21:03 GMT 2024","Sat May 04 17:21:03 GMT 2024","52","","Блок Комментариев","","mobile.CommentsSectionTest","checkCommentBlocks","Проверка блоков комментариев",""
"broken","Sat May 04 17:21:04 GMT 2024","Sat May 04 17:21:04 GMT 2024","49","","Разделы в приложении","","mobile.SectionsInTheApplicationMobileTest","openSectionsInTheApplication","Проверка разделов приложения [2] Tasks, Tasks",""
"broken","Sat May 04 17:21:04 GMT 2024","Sat May 04 17:21:04 GMT 2024","56","","Разделы в приложении","","mobile.SectionsInTheApplicationMobileTest","openSectionsInTheApplication","Проверка разделов приложения [3] Help, Questions",""
"broken","Sat May 04 17:21:04 GMT 2024","Sat May 04 17:21:04 GMT 2024","43","","Разделы в приложении","","mobile.SectionsInTheApplicationMobileTest","openSectionsInTheApplication","Проверка разделов приложения [1] Course, Java course",""
"broken","Sat May 04 17:21:01 GMT 2024","Sat May 04 17:21:03 GMT 2024","1591","","Авторизация в приложении","","mobile.AuthorizationInTheApplicationTest","authorizationInTheApplication","Авторизация по логину и паролю",""
"broken","Sat May 04 17:21:03 GMT 2024","Sat May 04 17:21:03 GMT 2024","40","","Создание персонального курса","","mobile.CreatingACourseMobileTest","creatProgrammingCourseByPassingTheQuestions","Создание курса ПРИ прохождении опроса",""
"broken","Sat May 04 17:21:04 GMT 2024","Sat May 04 17:21:04 GMT 2024","51","","Разделы в приложении","","mobile.SectionsInTheApplicationMobileTest","openSectionsInTheApplication","Проверка разделов приложения [5] Chat, Chat",""
"broken","Sat May 04 17:21:03 GMT 2024","Sat May 04 17:21:04 GMT 2024","64","","Лайки","","mobile.LikesUnderTheArticleTest","addLikeUnderTheArticle","Добавление лайка",""
"broken","Sat May 04 17:21:03 GMT 2024","Sat May 04 17:21:03 GMT 2024","47","","Создание персонального курса","","mobile.CreatingACourseMobileTest","creatProgrammingCourseWithoutTakingQuestions","Создание курса БЕЗ прохождения опроса",""
"broken","Sat May 04 17:21:04 GMT 2024","Sat May 04 17:21:04 GMT 2024","42","","Разделы в приложении","","mobile.SectionsInTheApplicationMobileTest","openSectionsInTheApplication","Проверка разделов приложения [4] Groups, Community",""
"broken","Sat May 04 17:21:04 GMT 2024","Sat May 04 17:21:04 GMT 2024","36","","Разделы в приложении","","mobile.SectionsInTheApplicationMobileTest","openSectionsInTheApplication","Проверка разделов приложения [6] Surveys & Quizzes, Surveys & Quizzes",""
"broken","Sat May 04 17:21:03 GMT 2024","Sat May 04 17:21:03 GMT 2024","69","","Блок Комментариев","","mobile.CommentsSectionTest","addCommentUnderAnArticle","Добавление комментария под статьёй",""
