"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Автотесты для Mobile","Комментарии","0","2","0","0","0"
"","Автотесты для Mobile","Разделы в приложении","0","6","0","0","0"
"","Автотесты для Mobile","Авторизация","0","1","0","0","0"
"","Автотесты для Mobile","Создание персонального курса","0","2","0","0","0"
"","Автотесты для Mobile","Лайки","0","1","0","0","0"
